classification,distinct_files,total_occurrences,control_count,variable_count,hybrid_count,token_normalized,token_example_casing,example_file,example_line
CONTROL,8,38,38,0,0,"ENDDISTRIBUTEMULTISTEP","EndDistributeMULTISTEP","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",1795
CONTROL,8,38,38,0,0,"DISTRIBUTEMULTISTEP","DistributeMULTISTEP","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",1714
CONTROL,7,8,8,0,0,"LOG","LOG","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/c_NetworkProcessing/1_NetProcessor.s",1109
CONTROL,7,8,8,0,0,"'\N',","'\n',","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/a_Setup/1_InputSetup.s",130
CONTROL,7,104,104,0,0,"PATHLOAD","PATHLOAD","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/c_NetworkProcessing/2_FFSkim.s",48
CONTROL,6,28,28,0,0,"BREAK","BREAK","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/c_NetworkProcessing/1_NetProcessor.s",1547
HYBRID,4,6,0,0,6,"MATO[3]","MATO[3]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/03_Skim_auto.s",70
CONTROL,4,8,8,0,0,"DELETE","DELETE","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/3_Highway/_Network Processing Tools/Update & Export Merged Master Net/_Update & Export MergedMasterNet.s",571
HYBRID,3,3,0,0,3,"MATO[2]","MATO[2]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/03_Skim_auto.s",27
HYBRID,3,3,0,0,3,"COMBINE","COMBINE","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/block/4pd_mainbody_distribution.block",10
CONTROL,3,5,5,0,0,"LINKLOOP","LINKLOOP","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/block/4pd_mainbody_distribution.block",416
CONTROL,3,5,5,0,0,"ENDLINKLOOP","ENDLINKLOOP","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/block/4pd_mainbody_distribution.block",734
CONTROL,3,3,3,0,0,"FUNCTION","FUNCTION","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/block/4pd_mainbody_distribution.block",842
CONTROL,3,3,3,0,0,"}","}","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/block/4pd_mainbody_distribution.block",900
MIXED,2,3,0,2,1,"GEOGKEY","GEOGKEY","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/3_Highway/_Network Processing Tools/Merge MAG-WFRC/__Merge_MAG_WFRCnets.s",44
HYBRID,2,5,0,0,5,"MATO[1]","MATO[1]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/07_HBW_dest_choice.s",244
HYBRID,2,4,0,0,4,"MATO[9]","MATO[9]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/07_HBW_dest_choice.s",622
HYBRID,2,4,0,0,4,"MATO[7]","MATO[7]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/07_HBW_dest_choice.s",595
HYBRID,2,4,0,0,4,"MATO[5]","MATO[5]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/07_HBW_dest_choice.s",575
HYBRID,2,2,0,0,2,"MATO[4]","MATO[4]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/03_Skim_auto.s",113
CONTROL,2,8,8,0,0,"RENUMBER","RENUMBER","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/3_SumToDistricts_GRAVITY.s",137
CONTROL,2,7,7,0,0,"SETPA","SETPA","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/d_TripTable/2_External_TripTable.s",610
CONTROL,2,5,5,0,0,"FILLMW","FILLMW","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",1681
CONTROL,2,5,5,0,0,"@SGRPY@","@SGRPY@","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/5_AssignHwy/02_Assign_AM_MD_PM_EV.s",310
CONTROL,2,4,4,0,0,"SENDMAIL,","SENDMAIL,","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/_HailMary.s",221
CONTROL,2,21,21,0,0,"BSEARCH","BSEARCH","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/b_SEProcessing/1_DemographicsAnalysis.s",249
CONTROL,2,20,20,0,0,"@SCENARIOY@","@ScenarioY@","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/5_AssignHwy/block/4pd_mainbody_managedlanes.block",595
CONTROL,2,20,20,0,0,"@SCENARION@","@ScenarioN@","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/5_AssignHwy/block/4pd_mainbody_managedlanes.block",584
CONTROL,2,2,2,0,0,"EXIT","Exit","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/_HailMary.s",243
CONTROL,2,2,2,0,0,"**@PYTHONPATH@","**@PythonPath@","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/6_REMM/6_Run_Parcel_Vol_Python_Script.s",36
CONTROL,2,16,16,0,0,"REPORT","REPORT","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/c_NetworkProcessing/1_NetProcessor.s",1089
