distinct_files,total_occurrences,token_normalized,token_example_casing,example_file,example_line
21,21,"REL_LN_TOGGLE","Rel_LN_Toggle","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",87
21,21,"PNR_FIELD","pnr_field","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",56
21,21,"OPPROJ_FIELD","OpProj_Field","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",149
21,21,"NETWORKYEAR","NetworkYear","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",49
21,21,"MODELVERSION","ModelVersion","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",9
21,21,"MASTERPREFIX","MasterPrefix","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",51
21,21,"MASTERLINKSHP","MasterLinkShp","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",52
21,21,"MAG_SEFILE","MAG_SEFile","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",45
21,21,"LOOKUP_BYAGEPCT","Lookup_BYAgePct","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",38
21,21,"KEEPTEMPFILES","KeepTempFiles","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",161
21,21,"HOVMARKER","HOVmarker","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",73
21,21,"HOT_TOLL_MIN","HOT_Toll_Min","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",102
21,21,"HOT_TOLL_MAX","HOT_Toll_Max","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",103
21,21,"GET_DATA_FOR_REMM","Get_data_for_REMM","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",182
21,21,"FROMSCENARIO","FromScenario","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",154
21,21,"FREEFAREZONES","FreeFareZones","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",31
21,21,"FACTOR_TELECOMMUTE","Factor_Telecommute","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",195
21,21,"EXT_VOL_COUNT","Ext_Vol_Count","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",114
21,21,"EXT_TRIPTABLE","Ext_TripTable","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",116
21,21,"EXT_TRIPENDPATTERN","Ext_TripEndPattern","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",115
